%USGS SPCMSC mean beach slope derived from lidar surveys from 1999-2018, dunes from  2018 in LMSL, ver 1 Compiled 8/26/22  
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
262.946 26.2363 262.812 26.2624 0.0563 0.1222 0.0010 6.9640 1.9474  1 2018
262.947 26.2453 262.808 26.2810 0.0223 0.0316 0.0131 7.5092 2.3596  1 2018
262.947 26.2543 262.806 26.2887 0.0204 0.0362 0.0046 5.8065 2.9478  1 2018
262.948 26.2633 262.804 26.2994 0.0831 0.1623 0.0039 7.9726 1.5899  1 2018
262.949 26.2813 262.800 26.3150 0.0145 0.0344 0.0010 4.5304 1.8859  1 2018
262.948 26.2903 262.799 26.3190 0.0221 0.0438 0.0004 3.2682 2.0714  1 2018
262.947 26.2993 262.798 26.3232 0.0262 0.0565 0.0010 5.4909 2.2842  1 2018
262.943 26.3063 262.797 26.3272 0.0276 0.0513 0.0040 8.5016 1.9675  1 2018
262.924 26.3197 262.796 26.3312 0.0599 0.0934 0.0264 5.7853 1.8330  1 2018
262.924 26.3287 262.795 26.3348 0.0337 0.0565 0.0108 5.3390 2.2567  1 2018
262.924 26.3378 262.794 26.3382 0.0239 0.0513 0.0010 4.1418 1.9991  1 2018
262.924 26.3468 262.793 26.3422 0.0231 0.0311 0.0151 5.4735 1.9169  1 2018
262.921 26.3553 262.792 26.3459 0.0262 0.0357 0.0168 7.9963 1.8549  1 2018
262.916 26.3633 262.791 26.3497 0.0236 0.0345 0.0126 7.7641 2.2241  1 2018
262.913 26.3718 262.790 26.3531 0.0124 0.0197 0.0051 4.3719 1.8926  1 2018
262.911 26.3806 262.788 26.3603 0.0213 0.0412 0.0014 9.1755 2.0967  1 2018
262.910 26.3896 262.786 26.3686 0.0414 0.0663 0.0166 6.1810 2.2046  1 2018
262.908 26.3985 262.783 26.3806 0.0625 0.0885 0.0364 3.1144 1.5732  1 2018
262.907 26.4075 262.780 26.3928 0.0773 0.1301 0.0245 2.1968 1.4055  1 2018
262.905 26.4163 262.777 26.4007 0.0798 0.1378 0.0217 5.8265 2.0711  1 2018
262.903 26.4252 262.776 26.4079 0.0235 0.0605 0.0010 3.9322 1.9409  1 2018
262.902 26.4341 262.773 26.4162 0.0892 0.1462 0.0322 7.1900 2.0827  1 2018
262.895 26.4855 262.772 26.4204 0.0538 0.0763 0.0313 7.0198 1.8800  1 2018
262.891 26.4939 262.771 26.4246 0.0286 0.0434 0.0138 8.8007 2.0695  1 2018
262.885 26.5015 262.768 26.4327 0.0155 0.0387 0.0010 7.2945 2.0283  1 2018
262.880 26.5090 262.766 26.4403 0.0297 0.0382 0.0211 8.3814 2.0911  1 2018
262.875 26.5167 262.763 26.4481 0.0349 0.0514 0.0184 5.6124 1.9445  1 2018
262.866 26.5210 262.761 26.4563 0.0318 0.0473 0.0163 7.0023 2.1550  1 2018
262.861 26.5290 262.758 26.4642 0.0708 0.1252 0.0164 5.8774 1.9444  1 2018
262.858 26.5377 262.756 26.4710 0.0176 0.0476 0.0010 2.8185 1.8235  1 2018
262.845 26.5493 262.751 26.4860 0.0237 0.0450 0.0024 6.6679 1.9017  1 2018
262.837 26.5517 262.747 26.4983 0.0443 0.0751 0.0134 5.1275 1.9929  1 2018
262.829 26.5777 262.735 26.5359 0.0170 0.0360 0.0010 3.7357 1.8944  1 2018
262.821 26.5943 262.729 26.5599 0.0348 0.0910 0.0010 8.0672 2.4300  1 2018
262.819 26.6031 262.720 26.5725 0.0506 0.0945 0.0067 5.2320 1.9291  1 2018
262.811 26.6382 262.704 26.6145 0.0883 0.1258 0.0509 5.5835 1.7697  1 2018
262.808 26.6468 262.701 26.6227 0.0650 0.0816 0.0484 5.1965 2.4290  1 2018
262.808 26.6558 262.699 26.6309 0.0570 0.0793 0.0347 5.4188 2.1335  1 2018
262.806 26.6647 262.696 26.6393 0.0668 0.0840 0.0496 5.7952 2.4912  1 2018
262.803 26.6733 262.695 26.6433 0.0813 0.1097 0.0528 6.1606 2.1670  1 2018
262.802 26.6822 262.692 26.6513 0.0298 0.0488 0.0108 7.0633 2.0771  1 2018
262.801 26.6912 262.691 26.6556 0.0444 0.0628 0.0260 5.5787 1.9865  1 2018
262.800 26.7002 262.689 26.6631 0.0595 0.0810 0.0380 5.3677 2.3458  1 2018
262.799 26.7091 262.687 26.6666 0.0757 0.1166 0.0347 5.4622 2.3817  1 2018
262.796 26.7176 262.686 26.6706 0.0688 0.0899 0.0477 5.4367 2.2363  1 2018
262.790 26.7248 262.684 26.6780 0.0735 0.1120 0.0351 5.2958 2.4423  1 2018
262.784 26.7324 262.681 26.6856 0.0641 0.0829 0.0454 5.7499 2.6343  1 2018
262.780 26.7406 262.679 26.6933 0.0645 0.0952 0.0338 6.1871 2.1934  1 2018
262.776 26.7487 262.677 26.7013 0.0598 0.0863 0.0334 5.0782 1.9898  1 2018
262.771 26.7567 262.674 26.7092 0.0496 0.0685 0.0307 5.1335 2.5142  1 2018
262.766 26.7647 262.671 26.7203 0.0633 0.0821 0.0445 5.3166 2.5560  1 2018
262.761 26.7726 262.667 26.7316 0.0673 0.1021 0.0324 5.9407 2.0943  1 2018
262.755 26.7795 262.665 26.7399 0.0576 0.0851 0.0302 5.3470 2.0131  1 2018
262.749 26.7962 262.659 26.7646 0.0554 0.0858 0.0249 4.5302 1.8518  1 2018
262.748 26.8051 262.656 26.7772 0.0656 0.1040 0.0272 4.9853 2.7254  1 2018
262.745 26.8140 262.653 26.7893 0.0576 0.0943 0.0208 5.6294 2.2331  1 2018
262.743 26.8227 262.651 26.7975 0.0620 0.0758 0.0481 5.5559 2.4211  1 2018
262.739 26.8404 262.645 26.8223 0.0292 0.0629 0.0010 6.1795 2.2088  1 2018
262.737 26.8492 262.643 26.8305 0.0620 0.0950 0.0289 7.4600 2.7032  1 2018
262.735 26.8582 262.641 26.8429 0.0650 0.0774 0.0526 7.3381 2.5839  1 2018
262.734 26.8671 262.639 26.8509 0.0805 0.1143 0.0466 8.1236 2.7507  1 2018
262.732 26.8760 262.637 26.8604 0.0458 0.0757 0.0158 5.5832 2.2661  1 2018
262.731 26.8850 262.635 26.8711 0.0561 0.0960 0.0163 7.9816 2.8518  1 2018
262.729 26.8939 262.633 26.8813 0.0513 0.0785 0.0242 8.4571 2.4379  1 2018
262.728 26.9028 262.632 26.8915 0.0612 0.0925 0.0298 6.3545 2.4897  1 2018
262.727 26.9119 262.630 26.9003 0.0599 0.0842 0.0355 5.9231 2.1685  1 2018
262.726 26.9209 262.629 26.9089 0.0425 0.0635 0.0215 8.6196 2.5581  1 2018
262.724 26.9479 262.625 26.9383 0.0697 0.0874 0.0519 8.5372 2.7482  1 2018
262.723 26.9569 262.624 26.9485 0.0768 0.1087 0.0449 7.5099 2.1935  1 2018
262.722 26.9658 262.624 26.9562 0.0651 0.0880 0.0421 7.4055 2.9353  1 2018
262.721 26.9748 262.623 26.9661 0.0765 0.1117 0.0413 6.6173 2.9143  1 2018
262.721 26.9838 262.623 26.9740 0.0559 0.0763 0.0355 6.2299 2.3365  1 2018
262.720 26.9928 262.622 26.9860 0.0620 0.0810 0.0429 5.8273 2.5023  1 2018
262.719 27.0018 262.621 26.9948 0.0845 0.1074 0.0617 6.6519 2.5713  1 2018
262.717 27.0107 262.621 27.0038 0.0731 0.0923 0.0539 5.3224 3.0838  1 2018
262.716 27.0196 262.621 27.0173 0.0694 0.0846 0.0542 5.8989 2.6393  1 2018
262.716 27.0287 262.621 27.0256 0.0736 0.0932 0.0540 5.7197 2.5125  1 2018
262.716 27.0377 262.620 27.0363 0.0747 0.0983 0.0511 5.2407 2.3782  1 2018
262.716 27.0467 262.620 27.0469 0.0788 0.0964 0.0613 5.9353 2.8261  1 2018
262.717 27.0558 262.621 27.0587 0.0649 0.0923 0.0375 6.5688 2.7766  1 2018
262.717 27.0648 262.621 27.0697 0.0698 0.0867 0.0529 8.5522 2.4531  1 2018
262.717 27.0738 262.622 27.0765 0.0716 0.0932 0.0500 9.4725 2.5021  1 2018
262.719 27.0918 262.623 27.1003 0.0711 0.0962 0.0460 6.6693 2.9238  1 2018
262.719 27.1008 262.623 27.1084 0.0768 0.0966 0.0569 9.0600 2.8676  1 2018
262.720 27.1098 262.624 27.1172 0.0682 0.0841 0.0523 7.7928 2.6032  1 2018
262.720 27.1189 262.625 27.1303 0.0714 0.1162 0.0267 8.3497 2.4341  1 2018
262.721 27.1279 262.626 27.1389 0.0643 0.0905 0.0380 9.3739 2.6798  1 2018
262.722 27.1369 262.627 27.1505 0.0426 0.0577 0.0276 5.4963 2.2296  1 2018
262.723 27.1459 262.628 27.1588 0.0433 0.0639 0.0227 8.2651 2.5402  1 2018
262.724 27.1548 262.630 27.1703 0.0363 0.0453 0.0273 4.3848 2.0959  1 2018
262.726 27.1637 262.631 27.1809 0.0426 0.0633 0.0219 4.9247 2.5074  1 2018
262.728 27.1725 262.633 27.1915 0.0395 0.0548 0.0242 4.4993 2.1744  1 2018
262.730 27.1813 262.635 27.1996 0.0323 0.0421 0.0224 4.9571 1.9352  1 2018
262.732 27.1903 262.636 27.2103 0.0473 0.0563 0.0382 5.5506 2.6793  1 2018
262.733 27.1992 262.638 27.2180 0.0486 0.0621 0.0351 5.3172 1.8935  1 2018
262.735 27.2080 262.641 27.2300 0.0441 0.0561 0.0321 5.8449 2.5299  1 2018
262.737 27.2169 262.642 27.2382 0.0611 0.0953 0.0269 6.3156 2.5412  1 2018
262.739 27.2257 262.645 27.2501 0.0519 0.0682 0.0357 5.8133 2.6163  1 2018
262.741 27.2345 262.647 27.2577 0.0556 0.0666 0.0446 7.2390 2.6185  1 2018
262.744 27.2432 262.650 27.2699 0.0512 0.0712 0.0312 7.1385 2.1103  1 2018
262.747 27.2520 262.652 27.2785 0.0656 0.0898 0.0415 7.4262 2.6581  1 2018
